filePath,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
1213/038e107a7a6c15ef44959331a9f5959cced87d7474b046ab1a1b08a7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.25,-0.5,0.0,-0.25,0.0,0.0,0.0,-0.75,0.25,-0.25,0.0,-0.5,0.0,0.25,-0.5,-0.25
591/0413a18486c21af89ded35c6335552762339eb8cf8a91e3c11b45205.jpeg,-0.25,0.0,-0.25,-0.25,0.0,0.0,-0.5,-0.25,-0.25,-0.25,-0.75,-0.5,-0.5,0.0,-0.5,0.0,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,0.25,-0.5
960/06696186af0f3d1fad1a05bf3a3bec68f6c8d29e9ef084304eb53bc3.jpg,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.5,-0.25,-0.5,-0.25,0.0,0.0,-0.25,-0.5,0.0,-0.25,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
871/07a1b67dec1fd463a0234fd3bb5d7110395a3da2a7ab535b0898b72e.jpg,0.0,0.25,0.0,0.0,0.25,0.0,1.0,-0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.5,1.0,0.25,0.25,0.5,0.25,0.25,0.5,0.25
1344/0aeb61776b75eed8a9fb1793c8f1e83cc32a6991f5f92a84c455cdcf.jpg,0.0,-0.5,-0.5,-0.25,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.25,0.0,-0.5,-0.5,-0.5
411/0cb526a4e150d5966bbdbddb788749475b1ba72922baef3aeb5189b6.jpg,-0.5,-1.0,0.0,-0.25,-0.25,-0.75,-1.0,-0.25,-1.0,-0.5,-0.5,-0.25,-0.5,-0.25,0.5,-0.25,-0.5,-0.25,-0.5,-0.75,-0.25,0.25,0.25,-0.5,-0.25
723/0dfcf524168de4d6837ac418b1908392d54792a60ac72e26bb28798b.JPG,-0.25,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0,0.0,-0.25,-0.25,0.25,0.0,0.0,-0.5,0.0,0.0,-0.25,-0.25,0.25,-0.5,0.0,-0.75,-0.75,-0.25
875/0ecfc30759d982dd01ad5df4cc600d2654abf617d457801e54128e91.jpg,-0.25,-0.75,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,0.0,-0.5,-0.75,0.0,-0.5,0.0,-0.25,0.0,0.25,0.75,-0.5,0.0,-0.25,0.25,-0.25,-0.5,-0.5
494/0f0fba06859e58780266c16f1343bdf2c630d332963aacb0460c6804.jpg,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,-0.5,-0.75,-0.25,-0.25,0.0,-0.5,-0.25,0.0,-0.25,-0.25,-0.25,0.25,0.0,-0.25,-0.25,-0.25
459/11cfff4003ff6d4f7be96c3a8ac9bda09e629ce2177c5d5e60f9b6ff.jpg,0.25,0.25,0.0,0.25,0.25,-0.25,-0.75,-0.25,0.25,-0.5,0.25,0.25,-0.5,0.0,-0.75,0.5,0.0,0.5,-0.25,0.25,-0.25,0.25,-0.25,0.25,-0.25
