row_number,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
345287,-0.25,0.0,0.0,-0.25,-0.5,-0.75,-0.25,-0.5,-0.75,0.0,0.0,-0.25,-0.25,0.0,-0.25,0.0,-0.25,0.0,-0.25,0.25,-0.5,-0.25,-0.25,0.0,0.0
49847,-0.75,-0.75,0.0,-0.5,-0.75,-0.25,-0.75,-0.25,-0.5,0.0,-0.5,-0.25,0.0,0.0,-0.25,-0.25,0.0,0.0,-0.25,-0.75,0.0,0.0,-0.25,0.0,-0.25
412858,-0.5,0.0,-0.5,-0.25,-0.75,-0.5,-0.75,-0.5,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5,-1.0,-0.5,-1.0,-0.75,0.0,-1.0,-0.5,-0.25,-0.25,-0.5,-0.25
220820,-0.25,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.25,-0.5,0.0,0.0,0.0,-0.25,-0.25
104567,0.0,0.25,0.0,0.25,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
359501,-0.25,-0.25,-0.5,-0.5,-0.25,0.0,-0.25,-0.25,0.25,0.0,-0.5,-0.25,-0.5,0.0,-0.5,-0.25,-0.5,-0.25,0.25,-0.5,0.0,-0.25,0.0,-0.25,-0.25
89614,-0.25,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.25,-0.5,-0.25,-0.25,0.25,-0.25,-0.5,-0.25,-0.75,-0.75,-0.25,-0.75,-0.5,-0.25,0.0,0.0,0.0
107021,-0.5,-0.5,-0.5,-0.75,-0.75,0.25,-0.5,-0.75,-1.0,0.5,-0.5,-0.25,0.25,-0.75,-0.75,-0.5,-0.75,-0.75,0.75,-1.0,-0.25,-0.5,-0.25,0.0,-0.25
155317,-0.25,0.0,-0.25,-0.25,-0.75,-0.75,-0.25,-0.5,-0.5,-0.25,-0.5,-0.5,0.25,0.0,-0.25,-0.25,-0.5,0.0,0.25,-0.5,-0.5,-0.25,-0.25,-0.5,-0.25
220017,-0.5,-0.5,-0.75,-0.75,-1.0,-0.5,-0.75,-0.5,-1.0,-0.5,-0.75,-0.5,-0.5,-1.0,-1.0,-0.5,-0.75,-0.75,-0.5,-1.0,-1.0,-0.5,-0.25,-0.5,-0.5
408579,-0.25,0.0,0.0,0.25,-0.25,0.0,-0.25,0.0,-0.25,-0.25,0.0,-0.5,0.0,0.25,-0.75,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
354028,-0.25,-0.25,0.0,-0.5,-0.25,-0.5,-0.5,-0.75,-0.5,0.0,-0.25,0.0,-0.25,-0.25,-0.5,0.0,0.0,0.0,-0.25,-0.75,0.0,0.0,0.0,-0.25,0.0
135287,-0.25,-0.25,0.0,-0.75,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,-0.25,0.25,-0.75,-0.5,0.0,-0.25,0.0,0.0
282277,-0.5,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,0.25,-0.25,-0.5,0.0,-0.75,-0.25,-1.0,-0.25,0.75,-0.25,0.0,0.0,0.0,0.0,-0.25
53679,-0.5,-0.25,-0.25,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.75,-0.5,0.0,-0.75,-0.5,-0.25,-0.5,0.0,-0.25
307354,-0.5,-0.25,-0.25,-0.5,-1.0,-0.5,-0.25,-0.5,-1.0,-0.25,-0.5,-0.25,-0.25,-1.0,-0.25,-0.25,-0.5,-0.25,-0.25,-0.75,-0.75,-0.5,-0.75,-0.25,-0.25
186921,-0.25,-0.25,-0.25,-0.5,-0.75,-0.5,-0.5,-0.25,0.25,-0.25,-0.25,-0.25,-0.5,-0.5,-0.75,-0.25,-0.5,-0.25,-0.75,-0.75,-0.5,-0.25,-0.5,-0.25,-0.25
290354,-0.25,0.0,0.0,-0.25,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,-0.25,-0.5,0.0,-0.75,0.0,-0.25,0.0,-0.25,0.0,-0.25,-0.25,0.0,0.0,0.0
20191,-0.5,-0.5,-0.5,-0.75,-1.0,-0.75,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.25,-0.25,-0.75,-0.25,-0.75,0.0,-0.25,-0.75,-0.75,-0.5,-0.25,0.0,-0.25
101932,-0.25,0.25,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.5,-0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
340088,-0.5,0.0,0.0,-0.75,-0.75,-0.25,-0.25,-0.25,-0.75,-0.25,0.0,-0.25,-0.5,-0.25,-0.5,-0.25,0.0,-0.25,-0.25,-0.75,-0.5,-0.25,0.0,-0.25,0.0
2778,-0.25,0.0,-0.25,-0.5,-0.5,-0.25,-0.5,-0.25,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.25,0.25,0.0,0.0,0.0,-0.25,0.0
151814,-0.5,-0.25,-0.25,-0.75,-0.75,-0.75,-0.5,-0.5,-0.5,-0.75,-0.25,-0.5,0.0,-1.0,-0.25,-0.5,-0.25,-0.5,0.25,-1.0,-0.5,0.0,0.0,-0.5,-0.25
175930,-0.25,-0.25,-0.25,-0.75,-0.75,-0.25,-0.5,0.0,-0.75,-0.25,0.0,-0.5,-0.5,-0.25,-0.5,-0.25,-0.75,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,-0.25
174087,0.0,0.0,0.0,-0.5,-0.5,-0.25,-0.25,0.0,0.25,0.0,0.25,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.25,-0.25,0.0,0.0
304449,-0.75,-0.5,-0.5,-0.5,-0.75,-0.25,-0.25,-0.5,-0.75,-0.25,-0.75,-0.5,-0.5,-0.75,-0.75,-0.25,-0.5,-0.5,-0.25,-0.5,-0.5,0.0,0.25,-0.25,-0.25
249164,-0.25,-0.5,-0.25,-0.75,-0.5,-0.5,-0.25,-0.25,-0.75,-0.5,-0.25,-0.25,-0.5,-0.5,-1.0,-0.25,-0.75,-0.75,0.25,-1.0,-0.25,0.0,-0.5,-0.25,-0.25
82453,0.25,0.0,0.0,-0.25,-0.25,0.0,0.25,0.0,0.25,0.25,0.25,-0.25,0.25,0.25,-0.5,0.25,0.25,0.0,-0.25,0.5,0.5,0.5,-0.25,0.0,0.0
264570,-0.5,-0.25,-0.5,-0.5,-0.75,0.0,-0.5,-0.5,-0.5,-0.25,-0.5,-0.25,-0.25,-1.0,-0.75,-0.25,-0.5,-0.25,0.25,-0.75,-0.75,-0.25,0.0,-0.25,-0.25
105642,-0.25,-0.25,-0.25,-0.5,-0.25,0.0,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.25,-0.5,-0.25,0.0,0.0,0.0,-0.25,-0.25,-0.5
