row_number,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
87283,7,0,7,7,7,7,7,7,7,7,4,4,7,6,7,7,6,7,6,6,5,7,6,5,6
77235,7,5,7,3,7,7,4,7,4,2,5,6,5,7,5,1,7,5,4,5,6,6,5,2,5
91852,7,7,7,7,7,7,7,7,7,1,6,3,7,6,1,1,1,7,7,6,7,7,1,7,5
160300,7,2,0,2,0,7,0,2,0,2,2,2,0,2,2,2,0,0,2,2,0,7,0,2,2
203210,5,5,7,5,7,7,5,5,5,5,5,4,5,6,5,5,1,6,5,5,5,7,5,2,5
357829,3,4,4,4,5,4,5,5,1,5,5,4,5,4,1,4,2,1,4,4,6,0,0,5,5
251215,5,7,0,7,3,7,4,7,7,7,5,7,7,1,1,7,1,1,5,7,6,7,5,5,1
199491,5,5,7,7,5,5,4,3,7,2,5,6,3,4,5,2,2,2,2,6,4,7,4,2,2
334881,5,5,7,6,7,6,5,7,7,5,5,5,5,7,5,5,2,5,5,1,1,7,1,4,5
267966,0,0,7,0,0,6,4,4,7,1,1,2,6,7,6,0,0,0,4,4,7,7,6,7,6
282772,6,5,7,1,7,7,1,3,7,6,1,7,4,3,1,7,7,1,7,5,6,5,2,4,6
334485,7,4,7,7,7,7,7,7,7,7,6,6,6,6,4,7,5,7,6,6,6,7,6,6,6
94568,3,2,3,5,2,2,5,3,2,5,5,5,5,5,5,3,2,3,5,5,5,0,2,5,3
67676,7,5,7,7,5,7,3,7,5,1,7,3,7,1,0,0,0,7,4,1,7,7,0,7,5
283917,7,6,7,1,7,7,7,7,7,1,1,6,1,1,1,1,3,7,7,6,7,1,3,7,1
311141,1,1,1,4,1,5,3,1,1,1,1,1,4,4,1,5,1,1,1,1,4,7,1,1,4
336680,7,5,7,7,4,7,5,5,7,5,4,2,5,7,5,4,5,7,5,5,2,7,5,4,5
220144,0,0,0,7,0,0,0,0,0,0,6,6,7,7,0,0,0,0,6,0,7,7,0,6,6
401952,2,2,4,4,5,5,2,4,5,5,5,2,5,4,2,4,4,5,2,2,4,2,2,2,6
175435,7,5,7,7,2,7,5,7,7,7,5,7,7,1,7,7,7,7,7,7,7,7,7,7,5
399283,7,7,6,7,7,7,7,5,7,2,4,5,6,6,7,4,3,5,7,5,5,1,4,5,5
227489,6,6,4,7,7,6,6,1,7,5,6,4,6,4,1,5,7,7,4,6,6,7,6,7,6
